CountryCode,Mode,ApproachName,Definition,SourceTypeContext,Author,TheoreticalStance,StudentFriendlyStrategy,ApplicationToHumanities,KeyQuotes,ConnectionsCritiques,GovernmentMandated,Orientation,Level,
WOI,Hybrid,Woiwurrung (Wurundjeri) — Season- and lore-anchored framing: ,"Woiwurrung (Wurundjeri) — Season- and lore-anchored framing: Woi-wurrung language, Bunjil’s expectations, and the Wurundjeri 6-season calendar structure lesson purpose; delivery via Wurundjeri educators (incursions, language & seasons sessions).","Traditional Owner programs (incursions, on-Country), council-backed seasonal resources; state policy requires partnership with local Koorie community. (wurundjeri.com.au)",Wurundjeri Woi Wurrung Cultural Heritage Aboriginal Corporation; DET Vic (Koorie Education). (wurundjeri.com.au),"Relational-seasonal pedagogy: purpose = caring for Country, guided by seasonal signs and Elder authority; intentions stress why and how to act, not checklists.","LI (board): “We are learning to read Country by noticing signs of Guling (orchid season) and linking them to one care action.” SC: “I can name 2 non-sensitive signs; explain 1 action; follow asking-and-listening protocol.” With permission, add two Woi-wurrung items (greetings/animal) from language session. (wurundjeri.com.au)",History/Geo: map Woi-wurrung place-names and seasonal foodways; compare 4-season vs Wurundjeri 6-season model; reflect on ethics encoded in calendars. (Merri-bek City Council),“Wurundjeri people recognise 6 seasons… each identified by environmental signals.” (Merri-bek) (Merri-bek City Council),"Advantages:  Makes intention tangible (current season, signs, action). Disadvantages:  Must be Wurundjeri-led; avoid token LIs that ignore protocol or sensitive language content. (wurundjeri.com.au)",,,,
WAD,Hybrid,Wadawurrung (Wathaurong/Wadda Wurrung) — Language-plus-Country goals: ,"Wadawurrung (Wathaurong/Wadda Wurrung) — Language-plus-Country goals: lesson purpose tied to Healthy Country priorities and local waterways/coast/grasslands; schools increasingly use Wadawurrung names and phrases; some schools carry Wadawurrung educational concepts in their names (e.g., Walcom Ngarrwa “steps to knowledge”).",Traditional Owner cultural education (on-Country sessions for schools); Vic policy: Aboriginal language names must be used for new schools (Traditional Owners supply names/meaning/audio). Naming outcomes include Walcom Ngarrwa Secondary College. (Wadawurrung),Wadawurrung Traditional Owners Aboriginal Corporation; VSBA/DET Vic. (Wadawurrung),"Country-care pedagogy: intention = reciprocity with place; goals embed language Advantages:  action (e.g., creek care) under community guidance.","LI (board): “We are learning how Wadawurrung language guides caring for our creek.” SC: “I greet appropriately; map 1 Wadawurrung place-name with source; propose 1 class action that aligns to a Healthy Country goal.” If relevant, unpack school name Walcom Ngarrwa (“steps to knowledge”). (Wadawurrung)",Civics/History: investigate school/local Wadawurrung toponyms; link language meanings to stewardship actions; document protocol steps taken with TOs. (Department of Education Victoria),“Cultural Education sessions… designed for Schools… include Welcome to Country.” (Wadawurrung) (Wadawurrung),"Advantages:  Clear benefits for community and chain effects. Disadvantages: Low precedent, ""high cost"", admin, Specifics vary by site; always co-design and avoid generic templates; use TO-approved language only. (Department of Education Victoria)",,,,
GUL,Hybrid,Gulidjan (Kolakngat/Colac) — Revival-and-place framing:,"Gulidjan (Kolakngat/Colac) — Revival-and-place framing: with only ~100 recorded words, lesson goals prioritise toponyms, wetlands/volcanic plains, and community-held knowledge via local organisations (Wathaurong Aboriginal Co-op; Eastern Maar nearby).",Language evidence is sparse (AIATSIS AUSTLANG S30; VCAA shows Gulidjan as a separate group). Current community infrastructure: Caracaramigen House (Colac Gathering Place) seeking new home (closed Dec 2024). (AIATSIS Collections),AIATSIS; VCAA; Wathaurong Aboriginal Co-operative; (coordination with Eastern Maar for adjacent heritage). (AIATSIS Collections),"Revival Advantages:  consent pedagogy: intention emphasises respectful naming, place observation, and process goals (consent, citation, co-making wordlists).","LI (board): “We are learning to honour Gulidjan Country by using correct place-names and documenting Lake Colac wetlands respectfully.” SC: “I can locate 2 Gulidjan toponyms with sources; explain why consent matters; record observations aligned with RAP guidance.” If community offers a word, include with permission. (AIATSIS Collections)",History/Geo: build a Gulidjan toponym map; compare colonial renaming vs language return; journal on how wetlands knowledge shapes civic decisions today. (VCAA),“No two language groups share more than 50% of the words used.” (VCAA—Gulidjan listed separately) (VCAA),"Advantages:  Honest exploring that centres process (consent, sources) where vocab is limited. Disadvantages:  Requires patient, relationship-first work; avoid projecting neighbours’ practices onto Gulidjan. (AIATSIS Collections)",,,,
LVA,Current,Skola2030: Mācību mērķis Advantages:  sasniegšanas kritēriji (learning goal Advantages:  success criteria),The competency‑based curriculum (Skola2030) specifies “sasniedzamie rezultāti” (learning outcomes) and achievement level descriptors. Teachers frame lessons by stating the mācību mērķis (learning goal) and sasniegšanas kritēriji (what success/evidence looks like) and use descriptive feedback and rubrics for assessment.,"Ministry of Education and Science; National Centre for Education (VISC) / Skola2030 teacher guides, subject programmes, assessment supports.",MoES; VISC; Skola2030 project team,"Competency‑based curriculum with strong Assessment for Learning (formatīvā vērtēšana): clarity of goals, success criteria, feedback, and learner reflection.",Begin with “Šodien mēs mācāmies…” (today we are learning to…); list “Sasniegšanas kritēriji/izdošanās rādītāji” as “Es varu…”; use exemplars and traffic‑lighting/self‑assessment.,"History/Social studies: goals such as “analizēt cēloņus un sekas…”; criteria specify use of sources, argument, evidence, and presentation; tasks connect to Latvian/European contexts.", (Skola2030): “Mācīšanās mērķi un sasniegšanas kritēriji padara gaidāmo sasniedzamo skaidru un atbalsta atgriezenisko saiti.”,Advantages:  Clear line from outcomes to criteria and feedback; shared national language; supports learner agency. − Documentation demands; uneven enactment in early implementation; risk of procedural criteria if not concept‑rich.,"Yes (national curriculum/assessment policy). Specific LI/SC phrasing is policy‑expected via Skola2030 guides, not statute.",Student & Facilitator; AfL routines embedded,Primary and Secondary (Grades 1–12),
LVA,Current,Competency-Based Framing (Sasniedzamais Rezultāts),"A system where learning is framed by Sasniedzamais Rezultāts (Attainable Results/Learning Outcomes), which are derived from the new national competency-based curriculum known as ""Skola2030"".","The ""Skola2030"" (School2030) national education reform, a major, systemic overhaul of the curriculum from pre-school to secondary education. It is designed to shift the focus from knowledge acquisition to the development of key competencies and skills.",Ministry of Education and Science / National Centre for Education (VISC).,"Competency-Based Constructivism. The reform is explicitly student-centered and aims to develop cross-curricular ""caurviju prasmes"" (transversal skills) like critical thinking, creativity, and collaboration. It is a deliberate and complete break from the teacher-centered, knowledge-transmission model of the Soviet era.","The teacher shares the Sasniedzamais Rezultāts for the lesson. The framing emphasizes what the student will learn to do and understand. ""Today, our attainable result is to learn how to analyze folk songs as a historical source, so we can better develop our critical thinking skills.""","The humanities are framed as central to developing civic and cultural competence. Learning outcomes focus on skills like interpreting sources, understanding different perspectives, and exploring Latvian national identity within a European context.","(From ""Skola2030"" vision) ""The goal is an education for the 21st century that develops the whole person – competent, creative, and ready for life in a changing world.""","Advantages:  An ambitious, well-designed, and philosophically coherent reform that aligns Latvian education with modern European pedagogy. It provides a clear focus on the skills needed for the future.   - Implementation has been a massive undertaking, requiring extensive teacher retraining and a significant cultural shift. As with any major top-down reform, there is a gap between the progressive aims of the policy and the day-to-day reality in all classrooms.","Yes. ""Skola2030"" is the mandated national curriculum framework.",Competency-Focused / Learner-Centered.,"Primary, Secondary.",
DEU,Current,Competency-Based Aims (Kompetenzerwartungen),"A system where lesson aims are derived from the state-level curriculum's Kompetenzerwartungen (Competency Expectations). These describe the knowledge, skills, and abilities students are expected to have acquired by the end of a school year or stage.","The education ministries of the 16 individual states (Länder). While each state has its own curriculum (Lehrplan), they are all guided by the nationally agreed-upon ""Bildungsstandards"" (Educational Standards) set by the Standing Conference of the Ministers of Education and Cultural Affairs (KMK).",State Ministries of Education and Cultural Affairs (Kultusministerien).,"Structured Constructivism / Didaktik Tradition. German pedagogy is influenced by the strong tradition of Didaktik, which emphasizes the ""why"" and ""what"" of teaching before the ""how."" The modern competency-based approach (Kompetenzorientierung) is a layer on top of this, focusing on the application of knowledge rather than mere reception.","The teacher shares the Lernziel (Learning Aim) for the lesson (Stunde). This is often framed as a specific skill or understanding to be achieved. ""Today, our aim (unser Ziel) is to be able to explain the concept of Soziale Marktwirtschaft (social market economy) using the example of the post-war German economic miracle.""","Humanities (History, Social Studies/Politics, Geography) are framed by competency expectations that focus on analytical skills (Urteilskompetenz - competence in judgment; Analysekompetenz - competence in analysis) and understanding historical-political contexts.","(d from KMK Bildungsstandards) ""The goal is not simply the accumulation of knowledge, but the development of competencies that enable students to act thoughtfully in various situations.""","Advantages:  The federal system allows for regional diversity while the national standards ensure a degree of consistency. The Didaktik tradition promotes a deep, philosophical approach to lesson planning.   - The federal structure creates significant inconsistencies between states (the ""postcode lottery""), making it difficult for families who move. The system has faced criticism for issues of equity, particularly regarding the early tracking of students into different school types.",Yes (at the state level). The curriculum (Lehrplan) of each federal state is mandated for the schools within that state.,Competency-Focused / Teacher-as-Designer.,"Primary, Secondary.",
NLD,Current,Core Objectives / Attainment Targets (Kerndoelen),"A system where the government sets broad, national Kerndoelen (Core Objectives) that describe the minimum of what schools must teach. Individual schools and teachers then have significant freedom in how they translate these broad objectives into specific lesson goals.","The Ministry of Education, Culture and Science. The Kerndoelen provide a national framework, but the Dutch constitution guarantees ""freedom of education,"" leading to a highly diverse and decentralized system of school-level pedagogy.","Ministry of Education, Culture and Science (sets the Kerndoelen).","Pedagogical Pluralism by Law. The system is officially agnostic, allowing for a wide range of pedagogical theories to flourish (from traditional direct instruction to radical constructivism in ""Iederwijs"" schools). However, there is a strong cultural emphasis on developing student autonomy and citizenship (burgerschap).","Highly variable by school type. A teacher in a traditional school might state a clear lesdoel (lesson goal). A teacher in a Dalton school might frame the lesson around a weekly task (weektaak) the student chooses to work on. A Montessori teacher might not ""frame"" a lesson at all, but rather guide a child's interaction with specific learning materials.","Humanities are taught according to the school's philosophy. A traditional school might focus on chronological history. A ""Jenaplan"" school might explore a historical theme through an interdisciplinary, inquiry-based project. All must eventually meet the broad national Kerndoelen.","(From the Dutch Education Act, paraphrased) ""Education is free... public education shall pay due respect to everyone's religion or belief.""","Advantages:  The freedom of education allows for a remarkable diversity of pedagogical innovation and enables parents to choose a school that aligns with their philosophy. Fosters student autonomy.   - The system can exacerbate inequality, as outcomes can vary significantly between schools. The lack of a common pedagogical language can make systemic quality control and teacher mobility challenging.",Yes (for the Core Objectives). No (for the pedagogical method). The Kerndoelen are mandated. The way they are taught is a matter of school autonomy.,School-Dependent / Highly Pluralistic.,"Primary, Secondary.",
PRT,Current,Aprendizagens Essenciais (AE): Objetivos de aprendizagem Advantages:  critérios de sucesso (AFC flexibility),AE set the core intended learning for each subject/grade aligned to the “Perfil dos Alunos.” Schools use Autonomia e Flexibilidade Curricular (AFC) to design integrated learning. Lessons are commonly framed by objetivos de aprendizagem and task‑specific critérios de sucesso; assessment uses descriptive rubrics and performance tasks.,"Direção‑Geral da Educação (DGE): Perfil dos Alunos, AE documents, AFC guidelines; inspectorate frameworks.",Ministry of Education (DGE),"Competency‑based with integrated curriculum possibilities (AFC); AfL principles (clarity, feedback, student self‑assessment).","“Objetivo: No final, consigo …”; “Critérios de sucesso: Eu consigo …” Advantages:  exemplars; learning logs/portfolios and conferencing.","História/Geografia/Cidadania: enquiries aligned to AE descriptors; criteria address evidence, chronology/concepts, explanation, and communication; local community projects frequent.", (Perfil/AE): “As aprendizagens essenciais clarificam o que todos os alunos devem alcançar e os critérios tornam visível a qualidade.”,Advantages:  National clarity on essentials; flexibility for integrated projects; criteria improve transparency. − Implementation varies; documentation/terminology load; tension with national examinations if criteria remain too generic.,Yes (AE and Perfil are national policy). No statutory mandate for specific LI/SC labels; criteria/descriptor use expected in assessment guidance.,Student & Facilitator; criteria‑informed feedback,Basic and Secondary Education (1.º–12.º anos),
FRA,Current,Socle commun Advantages:  Programmes: objectifs d’apprentissage Advantages:  critères de réussite (évaluation par compétences),"National “Programmes” specify knowledge/skills by cycle and “attendus de fin de cycle,” within the Socle commun de connaissances, de compétences et de culture. Teachers typically frame lessons with objectifs d’apprentissage and use critères de réussite/indicateurs in competency‑based rubrics; formative assessment (évaluation formative) is encouraged.","Ministère de l’Éducation nationale: Programmes (cycles 1–4, lycée), Socle commun; repères annuels de progression; national/academy inspection guidance.",Ministry of National Education,"Competency‑ and content‑based blend; explicit instruction plus inquiry/project work; évaluation par compétences increasingly common, especially in collège.",State the objectif d’apprentissage (FR) in pupil‑friendly terms; present critères de réussite/indicateurs via grids and exemplars; self/peer assessment (auto‑/co‑évaluation).,"Histoire‑Géographie‑EMC: objectives around compétences (raisonner, analyser, situer); tasks use dossiers de documents; criteria target evidence, explanation, and written/oral expression.", (Programmes/Socle): “Les attendus de fin de cycle et les repères de progression orientent l’enseignement et l’évaluation par compétences.”,Advantages:  Strong national coherence and progression by cycle; criteria‑based grids clarify expectations. − Administrative load; local variation in competency grading; risk of checklists overshadowing rich historical/geographical enquiry.,Yes (Programmes/Socle are statutory). Specific LI/SC wording is not mandated; objectifs/critères use is common and supported by inspection.,Teacher‑led clarity within national programmes; student as self‑evaluator,"Primary (école), Lower secondary (collège), Upper secondary (lycée général/techno/professionnel)",
USA,Historical,Enabling Objectives (within a Learning Hierarchy),"A sequence of prerequisite intellectual skills (discriminations, concepts, rules) that a learner must master to achieve a more complex Terminal Objective.","Instructional Systems Design (ISD), corporate/military training, early computer-based instruction.",Robert Gagné (1965). The Conditions of Learning.,"Cognitivist-Behavioral blend. Hierarchical, systematic, cognitivist in its focus on internal mental processes, but behaviorist in its emphasis on observable, measurable outcomes for each step.","Rarely student-facing. This is a back-end design tool for the instructor. The student experiences it as a highly structured, sequential lesson path. ""First, we will master X, then we will use X to do Y.""","Implicit: Used for teaching procedural skills like essay structure or grammatical rules. Critique: Poor fit for teaching interpretive, conceptual, or inquiry-based skills. Can lead to a rigid, ""paint-by-numbers"" approach to humanities, stripping them of nuance and inquiry.","""What is it you want the learner to be able to do?"" (paraphrasing the core question of his design process).","Advantages:  Provides exceptional clarity for procedural tasks. Excellent for scaffolding complex, multi-step processes. The intellectual backbone of 'Component Learning Intentions'.J155Disadvantages:  Highly teacher-centric (designer-centric). Can be extremely rigid. Risks atomising learning and de-emphasising holistic understanding and student agency.","No (as a specific term), but its logic underpins many competency-based curriculum frameworks.",,Facilitator/Designer,
USA,Hybrid,Enabling Objectives (within a Learning Hierarchy),"A sequence of prerequisite intellectual skills (discriminations, concepts, rules) that a learner must master to achieve a more complex Terminal Objective.","Instructional Systems Design (ISD), corporate/military training, early computer-based instruction.",Robert Gagné (1965). The Conditions of Learning.,"Cognitivist-Behavioral blend. Hierarchical, systematic, cognitivist in its focus on internal mental processes, but behaviorist in its emphasis on observable, measurable outcomes for each step.","Rarely student-facing. This is a back-end design tool for the instructor. The student experiences it as a highly structured, sequential lesson path. ""First, we will master X, then we will use X to do Y.""","Implicit: Used for teaching procedural skills like essay structure or grammatical rules. Critique: Poor fit for teaching interpretive, conceptual, or inquiry-based skills. Can lead to a rigid, ""paint-by-numbers"" approach to humanities, stripping them of nuance and inquiry.","""What is it you want the learner to be able to do?"" (paraphrasing the core question of his design process).","Advantages:  Provides exceptional clarity for procedural tasks. Excellent for scaffolding complex, multi-step processes. The intellectual backbone of 'Component Learning Intentions'.J155 Disadvantages:  Highly teacher-centric (designer-centric). Can be extremely rigid. Risks atomising learning and de-emphasising holistic understanding and student agency.","No (as a specific term), but its logic underpins many competency-based curriculum frameworks.",,Facilitator/Designer,
EUR ,Current,Four-Component Instructional Design (4C/ID),"A holistic instructional design model for complex learning, organising instruction around whole, authentic tasks that are broken down into problem classes of increasing difficulty. Objectives are implicit in the tasks themselves.","Cognitive science, professional education (e.g., medical, legal, design), complex skill acquisition.",Jeroen van Merriënboer,Based heavily on Sweller's (1998) Cognitive Load Theory (CLT). Integrates constructivist principles (authentic tasks) with cognitivist direct instruction (supportive information).,"The student experiences a sequence of authentic ""learning tasks"" (e.g., ""Diagnose this patient,"" ""Design a solution for this client""). Support and information are provided ""just-in-time"" to help them complete the task. The learning goal is to get better at the whole task.","Excellent fit for project-based learning. E.g., a unit on the Cold War could be a series of tasks: ""Write a diplomatic cable as a US ambassador,"" ""Create a museum exhibit on the Space Race."" The learning is holistic and applied, not a list of atomised facts.","""Don't teach a fish to swim by explaining hydrodynamics; put it in the water."" (Analogous principle)."," Advantages:  Focuses on authentic, holistic practice. Manages cognitive load effectively for highly complex skills. Promotes transfer of learning to real-world situations. Disadvantages:  Requires significant upfront design effort from the instructor. Less suitable for simple knowledge acquisition. The learning objectives are not easily ""posted on the board"" in a simple sentence, which can challenge traditional accountability metrics.",,,,
GBR,Current,CfE lesson framing: Learning Intentions and Success Criteria (derived from Es & Os (Experiences & Outcomes); informed by Benchmarks),Teachers derive pupil-facing Learning Intentions and Success Criteria from relevant Experiences and Outcomes; Benchmarks inform what “meeting the standard” looks like but are not taught or posted as checklists.,"Curriculum for Excellence (BGE); Education Scotland guidance (AiFL legacy, Benchmarks 2017Advantages: ).",Scottish Government; Education Scotland; practitioner moderation networks.,"Outcomes/competency-based within a socio-constructivist, formative-assessment ethos.","Share LI (“We are learning to evaluate historical sources for usefulness”) and SC (clear look‑fors) in pupil language; optionally reference the E&O code in planning (e.g., SOC 3‑01a) rather than to pupils.","Use Social Studies Es & Os on evidence/perspectives; SC specify moves (identify provenance, purpose, bias; justify judgment). Inquiry is framed by a context/essential question, not by Benchmark text.",Education Scotland (): “Benchmarks provide clarity on national standards and support consistency in professional judgments; they are not for day‑to‑day planning or to be ticked individually.”,Advantages:  High shared clarity for learners; alignment to national standards via moderation. − Risk of narrowing to checklists if Benchmarks are misused; pressure from Senior Phase exams can pull framing toward test prep.,Yes (CfE framework is statutory; Benchmarks support assessment of a level).,Student & Facilitator,"Early–Fourth (BGE), with articulation to Senior Phase (SQA standards)",
AUS - VIC,Current,Focus the Learning' VTLM: Learning Objectives & Success Criteria,"An official pedagogical practice where a lesson's goals are articulated as ""Learning Objectives"" (explicitly defined as synonymous with ""Learning Intentions"") which are then broken down into observable ""Success Criteria"" that students use to track their progress.","The Victorian Teaching and Learning Model (VTLM 2.0) and its ""Focus the learning"" implementation guide. This is the state-level, research-informed framework for all Victorian government schools.",Victorian Department of Education.VTLM 2.0 'focus the learning'; ,"Explicit Synthesis. A deliberately eclectic, ""evidence-informed"" model that blends the socio-constructivist language of formative assessment (Black & Wiliam) with cognitive science principles (prior knowledge, cognitive load) and direct instruction elements.","Highly prescriptive. LOs are framed with verbs like ""compare, predict, solve"" and SC are framed as ""I can..."" statements. The model also expects the use of advance organizers and retrieval activities to frame the learning.","Provides a clear, sequential structure for humanities lessons. An advance organizer introduces the unit's big picture, retrieval activities activate prior knowledge, and the LO/SC focus on the specific analytical skill for that day's content.","Learning objectives (LOs), also known as learning intentions, help to focus and guide student learning.","This is the state's official attempt to solve the national ""jarring hybrid"" by creating a single, coherent model between the UK's Learning Intentions & Success Criteria and The USA's former Learning Objectives model.  Advantages:  It provides common, research-backed language that reduces fragmentation and explicitly links daily practice to the Victorian Curriculum. Disadvantages:   The model's conflation of ""Objective"" and ""Intention"" is a key point of contention, potentially favoring a more procedural, measurable interpretation over a deeper conceptual or inquiry-based one.","Partial. Not statutory to use LI/LO & SC. However as a mandated professional accountability and performance criterion to get registration with VIT, it is a core departmental expectation that underpins school improvement planning and teacher performance and development processes.","Explicit Instruction / Student & Facilitator. It is a teacher-led model (""State and explain"") designed to empower student self-regulation.","Primary, Secondary (F–10, VCE, VPC).",
AUS - VIC,Current,MACS Hybrid Framework: UbD Unit Design Advantages:  LI/SC Lesson Framing,"A two-tiered pedagogical framework where units are designed ""backward"" using Understanding by Design (UbD) from desired ""Enduring Understandings"" and ""Essential Questions."" Daily lessons within that unit are then framed with explicit ""Learning Intentions"" and ""Success Criteria,"" drawing heavily from Visible Learning and AfL principles.","Articulated in the Melbourne Archdiocese Catholic Schools (MACS) strategic framework, ""Horizons of Hope,"" and implemented through system-wide professional learning. It is a defining feature of this major Catholic education sector.","MACS. The model synthesises/mixes the work of Wiggins & McTighe's UbD (1998, 2002, 2005) and formative assessment pioneers like Black, Wiliam, Clarke, and Hattie (Targetted Assessment/Visible Learning/Assessment for Learning/Inside the Black Box all 1998 via SCAA whitepaper, 1997).","Pragmatic Synthesis. It blends the macro-level constructivism of UbD (designing for deep, transferable understanding) with the micro-level socio-constructivism of AfL (making learning explicit and fostering metacognition). This is all underpinned by a Catholic humanist telos (formation for the common good) that provides the ultimate purpose for learning.","Students experience both layers. A big, provocative Essential Question is displayed for the entire unit. Each daily lesson then has a specific Learning Intention (""We are learning to..."") and Success Criteria (""I can..."") that explicitly builds towards answering that larger question.","An excellent fit. An Essential Question (e.g., ""How should a just society balance freedom and the common good?"") frames the unit. A summative UbD task (e.g., a policy debate) provides an authentic assessment. Daily LI/SC then target the specific component skills (e.g., source analysis, corroboration, rebuttal) needed to succeed in the task and engage with the big question.",(UbD Ethos) Plan backward from desired understandings. (AfL Ethos) Make learning intentions and success criteria explicit. (Horizons of Hope Ethos) Form learners who contribute to the common good.,"This is MACS's deliberate attempt to create a ""best of both worlds"" model, resolving the jarring nature of other Australian hybrids. The Clash: The two genealogies are distinct—UbD is a US curriculum philosophy, while LI/SC is a UK formative assessment practice.  The Path: MACS forges a path by positioning LI/SC as the primary tool for scaffolding the ""big ideas"" of UbD. Advantages:  Provides a powerful, coherent line of sight from the unit's philosophical purpose to the daily lesson's success criteria - Places a very high demand on teacher expertise. Risks ""inauthentic alignment,"" where daily LIs become procedural tasks that don't genuinely build towards the unit's deep conceptual goals, or the jargon of Learning Objectives seeps into planning and the concept is lost.","No (Sector Mandate). This is not a state legal mandate. It is a powerful sector expectation driven by MACS policy. Schools are required to align with the Victorian Curriculum, and this framework is the MACS-endorsed way to do so.",Designer & Facilitator. The teacher acts as a curriculum designer at the macro level (UbD) and as a facilitator of explicit learning at the micro level (LI/SC).,"Primary, Secondary (P–12).",
AUS - NSW,Current,What Works Best': Explicit Teaching with Learning Goals & Success Criteria,"A pedagogical model where the teacher clearly communicates the lesson's purpose through explicit ""Learning Goals"" (often expressed as LI/WALT) and ""Success Criteria."" This is a core component of a broader ""Explicit Teaching"" framework that emphasizes teacher-led, highly structured instruction (e.g., I Do, We Do, You Do).","The ""What Works Best"" framework from the NSW Department of Education's Centre for Education Statistics and Evaluation (CESE). This is the state's official, evidence-based guide to improving student outcomes.",NSW Department of Education / CESE.,"Cognitive Science & Direct Instruction. This model is heavily grounded in research around cognitive load theory, retrieval practice, and the principles of direct instruction (e.g., Rosenshine's Principles of Instruction). It is less of an eclectic synthesis than Victoria's model and has a much clearer and stronger leaning towards teacher-led, explicit pedagogy.","The Learning Goal and Success Criteria are explicitly stated, explained, and modelled by the teacher at the beginning of the lesson. The lesson structure is transparent, with the teacher clearly signalling the transition from modelling to guided practice to independent practice.","Frames humanities lessons around the explicit teaching of disciplinary skills. For example, a teacher would explicitly model how to deconstruct a historical source (""I Do""), then deconstruct one with the class (""We Do""), before students attempt it independently (""You Do""). The Learning Goal would focus on that specific, explicit skill.","(From ""What Works Best"") ""Effective teachers explicitly teach students what they need to know and how to do it.""   ""Clearly communicating the learning goals and success criteria for every lesson.""","Advantages:  Provides exceptional clarity for both teachers and students, particularly for foundational knowledge and skills. It is strongly backed by a specific body of cognitive science research. Aims to reduce ambiguity and ensure consistency.   - Critics argue it can be overly rigid and procedural, potentially stifling student inquiry, creativity, and agency if applied dogmatically to all learning. It is less suited to complex, open-ended, or exploratory tasks that are common in the humanities.","Yes (as a core professional practice framework). The ""What Works Best"" framework is the officially endorsed model for all NSW government schools and is the foundation for professional learning, school planning, and accountability.",Explicit Instruction / Teacher-Led. The emphasis is on teacher clarity and expertly designed instruction to guide student learning efficiently.,"Primary, Secondary (K-12).",
AUS - QLD,Current,School-Determined Practice (Commonly Learning Goals/Intentions & Success Criteria),"A decentralized model where individual schools and teachers are responsible for selecting and implementing their pedagogical framework. The most common practice is the use of ""Learning Goals"" or ""Learning Intentions"" and ""Success Criteria"" to translate the Australian Curriculum into daily lesson frames.","The P-12 curriculum, assessment and reporting framework from the Queensland Department of Education sets the broad principles and expectations. However, the specific lesson-framing model is not prescribed by a single, state-wide ""brand"" like in NSW or VIC. It's a product of school-level policy and the global influence of formative assessment literature.",Queensland Department of Education (sets the overarching framework); Individual schools (determine the specific pedagogical model).,"Pedagogical Pluralism / Agnosticism. The state framework does not mandate a single pedagogical theory. It allows for a mix of approaches (explicit instruction, inquiry, etc.), expecting schools to use ""evidence-based"" practices to meet system goals. This is a significant shift from the state's historically strong philosophical stances (e.g., ""New Basics"").","Highly variable by school. The most common format is the familiar LI/SC or WALT/WILF model, displayed on the board and used to structure the lesson.","Teachers ""unpack"" the Australian Curriculum's content descriptions for History, Geography, etc., into school-developed unit plans and then into daily Learning Intentions. The style of this can vary from a highly explicit, skills-based focus to a more inquiry-driven, conceptual focus, depending on the school's philosophy.","(From the P-12 framework) ""Effective teachers... share learning expectations with students, including what they are to learn, how they will be successful and why it is important."" (This principle implies LI/SC without mandating a specific format).","Advantages:  Grants a high degree of professional autonomy to schools and teachers, allowing them to choose pedagogical models that best suit their local context and students.   - Can lead to significant inconsistency across the state (a ""postcode lottery""). The lack of a single, coherent, state-supported model can place a heavy planning and professional learning burden on individual schools. The legacy of the C2C resource bank still influences many schools, sometimes leading to a more procedural, ""off-the-shelf"" approach.","No (as a specific pedagogical model). The Department mandates alignment with the P-12 framework and the use of the Australian Curriculum. However, the specific method of lesson framing (e.g., the precise format of an LI/SC) is a school-based decision. This is a key point of difference from NSW and VIC.",School-Dependent / Practitioner-Driven.,"Primary, Secondary (P-10).",
AUS - QLD,Current,"QCAA Senior syllabuses: Objectives, assessment criteria/standards (ISMG) Advantages:  External Assessment","Senior subjects use QCAA syllabuses with explicit Objectives and criteria/standards. Internal assessment tasks have an Instrument‑specific Marking Guide (ISMG) with performance standards (A–E); many subjects also have External Assessment (EA). Lessons and tasks are framed by unpacking objectives, command terms and ISMG criteria; exemplars and confirmation processes drive clarity.",QCAA General/Applied syllabuses; IA/EA system (introduced 2019); endorsement/confirmation quality assurance.,"QCAA (syllabuses, ISMGs, assessment policies).",Criterion‑/standards‑referenced assessment; alignment‑driven planning; explicit teaching of command terms and task genres.,"Unpack objectives and ISMG descriptors; co‑construct checklists that mirror criteria; analyse annotated exemplars; practise command terms (e.g., analyse, evaluate) with feedback cycles.","Ancient/Modern History, Geography, Legal Studies: IA tasks mapped to ISMGs (e.g., analysis, evaluation, evidence). Lessons target the specific criteria strands with modelled writing and source work.",: ISMGs describe the qualities of student responses at each standard for a particular assessment instrument.,"Advantages:  Very high assessment clarity; strong moderation culture (endorsement/confirmation). − Risk of “teaching to the rubric”; workload around drafting, endorsement and confirmation; lesson framing can narrow to task genre unless broader conceptual goals are kept visible.","Yes (QCAA syllabuses, IA/EA system, ISMG use are mandatory in QLD senior secondary).","Student & Facilitator (classroom); Assessor (criteria, moderation)",Years 11–12,
